location_inland,location_coast,season_spring,season_summer,season_fall,season_winter,time_dawn,time_morning,time_afternoon,time_night,NO2,O3,SO2,CO
1,0,0,1,0,0,1,0,0,0,0.009,0.014,0.003,0.4
1,0,0,1,0,0,0,0,0,1,0.013,0.015,0.003,0.4
1,0,0,1,0,0,0,0,0,1,0.014,0.016,0.003,0.4
1,0,0,1,0,0,0,0,0,1,0.018,0.015,0.003,0.5
1,0,0,1,0,0,0,0,0,1,0.017,0.026,0.003,0.4
1,0,0,1,0,0,0,0,0,1,0.013,0.039,0.003,0.4
1,0,0,1,0,0,0,0,0,1,0.008,0.049,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.006,0.045,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.005,0.039,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.005,0.046,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.005,0.045,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.005,0.041,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.004,0.035,0.003,0.4
1,0,0,1,0,0,0,1,0,0,0.005,0.029,0.003,0.4
1,0,0,1,0,0,0,1,0,0,0.012,0.019,0.003,0.5
1,0,0,1,0,0,0,1,0,0,0.014,0.012,0.003,0.5
1,0,0,1,0,0,0,1,0,0,0.013,0.013,0.003,0.5
1,0,0,1,0,0,0,1,0,0,0.009,0.016,0.003,0.4
1,0,0,1,0,0,0,1,0,0,0.005,0.019,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.004,0.02,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.003,0.019,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.003,0.022,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.004,0.023,0.002,0.4
1,0,0,1,0,0,1,0,0,0,0.004,0.029,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.005,0.029,0.003,0.4
1,0,0,1,0,0,0,0,0,1,0.005,0.033,0.002,0.4
1,0,0,1,0,0,0,0,0,1,0.008,0.032,0.002,0.4
1,0,0,1,0,0,0,0,0,1,0.006,0.037,0.003,0.4
1,0,0,1,0,0,0,0,0,1,0.008,0.039,0.003,0.4
1,0,0,1,0,0,0,0,0,1,0.009,0.038,0.003,0.4
1,0,0,1,0,0,0,0,0,1,0.01,0.036,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.015,0.035,0.004,0.5
1,0,0,1,0,0,0,0,1,0,0.011,0.048,0.004,0.5
1,0,0,1,0,0,0,0,1,0,0.009,0.057,0.004,0.4
1,0,0,1,0,0,0,0,1,0,0.01,0.054,0.005,0.5
1,0,0,1,0,0,0,0,1,0,0.008,0.053,0.006,0.5
1,0,0,1,0,0,0,0,1,0,0.01,0.045,0.006,0.5
1,0,0,1,0,0,0,1,0,0,0.012,0.025,0.004,0.5
1,0,0,1,0,0,0,1,0,0,0.015,0.007,0.003,0.5
1,0,0,1,0,0,0,1,0,0,0.011,0.006,0.003,0.4
1,0,0,1,0,0,0,1,0,0,0.008,0.004,0.003,0.4
1,0,0,1,0,0,0,1,0,0,0.007,0.003,0.003,0.4
1,0,0,1,0,0,0,1,0,0,0.006,0.005,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.005,0.005,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.007,0.005,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.007,0.005,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.009,0.006,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.011,0.005,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.012,0.007,0.003,0.4
1,0,0,1,0,0,0,0,0,1,0.014,0.007,0.003,0.5
1,0,0,1,0,0,0,0,0,1,0.018,0.007,0.003,0.5
1,0,0,1,0,0,0,0,0,1,0.018,0.008,0.003,0.5
1,0,0,1,0,0,0,0,0,1,0.016,0.013,0.003,0.5
1,0,0,1,0,0,0,0,0,1,0.014,0.018,0.003,0.5
1,0,0,1,0,0,0,0,0,1,0.01,0.03,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.008,0.038,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.006,0.042,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.007,0.043,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.008,0.038,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.011,0.031,0.003,0.4
1,0,0,1,0,0,0,0,1,0,0.01,0.025,0.003,0.4
1,0,0,1,0,0,0,1,0,0,0.008,0.018,0.003,0.4
1,0,0,1,0,0,0,1,0,0,0.007,0.014,0.003,0.4
1,0,0,1,0,0,0,1,0,0,0.006,0.011,0.002,0.3
1,0,0,1,0,0,0,1,0,0,0.007,0.007,0.003,0.3
1,0,0,1,0,0,0,1,0,0,0.005,0.005,0.003,0.3
1,0,0,1,0,0,0,1,0,0,0.003,0.006,0.003,0.3
1,0,0,1,0,0,1,0,0,0,0.004,0.007,0.003,0.3
1,0,0,1,0,0,1,0,0,0,0.005,0.007,0.003,0.3
1,0,0,1,0,0,1,0,0,0,0.007,0.006,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.01,0.006,0.003,0.4
1,0,0,1,0,0,1,0,0,0,0.013,0.005,0.003,0.4
